Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_1206",140.400000,-105.800000,270.000000,top
"C2","100nF","C_0603",142.500000,-89.900000,90.000000,top
"C3","12pF","C_0603",144.850000,-104.650000,0.000000,top
"C4","12pF","C_0603",147.850000,-104.650000,180.000000,top
"C5","4.7uF","C_1206",121.000000,-81.500000,270.000000,top
"C6","4.7uF","C_1206",123.250000,-81.500000,270.000000,top
"C7","100nF","C_0603",127.750000,-82.500000,180.000000,top
"C8","100nF","C_0603",155.400000,-75.250000,0.000000,top
"C9","100nF","C_0603",155.450000,-98.750000,0.000000,top
"C10","10uF","C_0805",138.800000,-83.650000,90.000000,top
"C11","10uF","C_0805",140.670001,-83.650000,90.000000,top
"C12","100nF","C_0603",165.800000,-96.850000,180.000000,top
"C13","100nF","C_0603",165.800000,-120.300000,180.000000,top
"C14","100uF","CP_Elec_6.3x7.7",162.500000,-92.500000,180.000000,top
"C15","100uF","CP_Elec_6.3x7.7",162.500000,-116.000000,180.000000,top
"D2","1N4148W","D_SOD-123",147.000000,-116.000000,270.000000,top
"D3","SMBJ30A","D_SMB",113.250000,-81.500000,270.000000,top
"D4","B140-13-F","D_SMA",120.750000,-87.500000,180.000000,top
"D5","1N4448W","D_SOD-123",133.200000,-83.100000,270.000000,top
"D6","GREEN","LED_0603",141.100000,-87.700000,180.000000,top
"FB1","470R","L_0603",118.300000,-79.400000,0.000000,top
"FB2","470R","L_0603",136.000000,-87.050000,90.000000,top
"R1","4.7K","R_1206_HandSoldering",113.000000,-96.000000,180.000000,top
"R2","4.7K","R_1206_HandSoldering",113.000000,-102.500000,180.000000,top
"R3","4.7K","R_1206_HandSoldering",113.000000,-109.000000,180.000000,top
"R4","4.7K","R_1206_HandSoldering",113.000000,-115.500000,180.000000,top
"R5","10K","R_0603",130.500000,-95.250000,270.000000,top
"R6","10K","R_0603",130.500000,-102.250000,270.000000,top
"R7","10K","R_0603",130.500000,-109.250000,270.000000,top
"R8","10K","R_0603",130.500000,-116.250000,270.000000,top
"R9","10k","R_0603",134.900000,-111.550000,270.000000,top
"R11","1K","R_0603",149.500000,-116.750000,270.000000,top
"R12","1K","R_0603",152.000000,-116.750000,270.000000,top
"R13","1M","R_0402",124.750000,-78.700000,90.000000,top
"R14","52.3k","R_0603",136.000000,-81.350000,270.000000,top
"R15","10K","R_0603",136.000000,-78.550000,270.000000,top
"R16","300","R_0402",138.550000,-87.800000,180.000000,top
"SW1","SW_Push","SW_SPST_B3S-1000",139.000000,-117.000000,0.000000,top
"U1","ATmega328P-AU","TQFP-32_7x7mm_Pitch0.8mm",140.750000,-97.250000,90.000000,top
"U2","PC817","DIP-4_W9.53mm_SMD",123.000000,-97.000000,0.000000,top
"U3","PC817","DIP-4_W9.53mm_SMD",123.000000,-104.000000,0.000000,top
"U4","PC817","DIP-4_W9.53mm_SMD",123.000000,-111.000000,0.000000,top
"U5","PC817","DIP-4_W9.53mm_SMD",123.000000,-118.000000,0.000000,top
"U6","L293DD013TR","SOIC-20W_7.5x12.8mm_Pitch1.27mm",160.500000,-106.000000,90.000000,top
"U7","L293DD013TR","SOIC-20W_7.5x12.8mm_Pitch1.27mm",160.500000,-82.500000,90.000000,top
"U8","MCP16301","SOT-23-6",127.750000,-79.250000,180.000000,top
"Y1","16MHz","Crystal_SMD_3225-4pin_3.2x2.5mm",146.300000,-107.350000,0.000000,top
